customerID,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Score_No,Score_Yes
5575-GNVDE,Male,0,No,No,34,DSL,Yes,No,Yes,No,No,No,Oneyear,No,56.95,1889.5,No,0.934579712854146,6.54202871458537e-02
3668-QPYBK,Male,0,No,No,2,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,53.85,108.15,Yes,0.6306644172495,0.3693355827505
7795-CFOCW,Male,0,No,No,45,DSL,Yes,No,Yes,Yes,No,No,Oneyear,No,42.3,1840.75,No,0.972836968329659,2.7163031670341e-02
7469-LKBCI,Male,0,No,No,16,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,18.95,326.8,No,0.968646353728569,3.13536462714314e-02
8091-TTVAX,Male,0,Yes,No,58,Fiberoptic,No,No,Yes,No,Yes,Yes,Oneyear,No,100.35,5681.1,No,0.802279222786905,0.197720777213095
8191-XWSZG,Female,0,No,No,52,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,20.65,1022.95,No,0.987674321271914,1.23256787280857e-02
9959-WOFKT,Male,0,No,Yes,71,Fiberoptic,Yes,No,Yes,No,Yes,Yes,Twoyear,No,106.7,7382.25,No,0.944945023517969,5.5054976482031e-02
4190-MFLUW,Female,0,Yes,Yes,10,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,55.2,528.35,Yes,0.804481753761389,0.195518246238611
4183-MYFRB,Female,0,No,No,21,Fiberoptic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,90.05,1862.9,No,0.437552891589094,0.562447108410906
1066-JKSGK,Male,0,No,No,1,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,20.15,20.15,Yes,0.772894567177871,0.227105432822129
6865-JZNKO,Female,0,No,No,30,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,55.3,1530.6,No,0.833045741911468,0.166954258088532
6467-CHFZW,Male,0,Yes,Yes,47,Fiberoptic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,99.35,4749.15,Yes,0.58031555504657,0.41968444495343
7310-EGVHZ,Male,0,No,No,1,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,20.2,20.2,No,0.773034520428574,0.226965479571426
6047-YHPVI,Male,0,No,No,5,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,69.7,316.9,Yes,0.344052485720822,0.655947514279178
6572-ADKRS,Female,0,No,No,46,Fiberoptic,No,No,Yes,No,No,No,Month-to-month,Yes,74.8,3548.3,No,0.642195180468901,0.357804819531098
8865-TNMNX,Male,0,Yes,Yes,10,DSL,No,Yes,No,No,No,No,Oneyear,No,49.55,475.7,No,0.845453240082891,0.154546759917109
9867-JCZSP,Female,0,Yes,Yes,17,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,20.75,418.25,No,0.944802906024314,5.51970939756857e-02
4671-VJLCL,Female,0,No,No,63,DSL,Yes,Yes,Yes,Yes,Yes,No,Twoyear,Yes,79.85,4861.45,No,0.987657484729013,1.23425152709872e-02
7639-LIAYI,Male,0,No,No,52,DSL,Yes,No,No,Yes,Yes,Yes,Twoyear,Yes,79.75,4217.8,No,0.973597563483756,2.64024365162436e-02
2954-PIBKO,Female,0,Yes,Yes,69,DSL,Yes,No,Yes,Yes,No,No,Twoyear,Yes,64.15,4254.1,No,0.993992166474871,6.00783352512945e-03
9420-LOJKX,Female,0,No,No,15,Fiberoptic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,99.1,1426.4,Yes,0.421847476481056,0.578152523518944
1658-BYGOY,Male,1,No,No,18,Fiberoptic,No,No,No,No,Yes,Yes,Month-to-month,Yes,95.45,1752.55,Yes,0.260759362831293,0.739240637168707
1215-FIGMP,Male,0,No,No,60,Fiberoptic,No,Yes,No,No,Yes,No,Month-to-month,Yes,89.9,5450.7,No,0.694330906916772,0.305669093083228
5122-CYFXA,Female,0,No,No,3,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,75.3,244.1,No,0.587847379745903,0.412152620254097
7410-OIEDU,Male,0,No,No,10,Fiberoptic,Yes,No,Yes,No,No,No,Month-to-month,Yes,79.85,887.35,No,0.470330103993285,0.529669896006715
0731-EBJQB,Female,0,Yes,Yes,52,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,Yes,20.4,1090.65,No,0.985577281047181,1.44227189528191e-02
2673-CXQEU,Female,1,No,No,56,Fiberoptic,Yes,Yes,Yes,No,Yes,Yes,Oneyear,No,110.5,6139.5,No,0.779437762957469,0.220562237042531
6416-JNVRK,Female,0,No,No,46,DSL,No,No,No,No,No,Yes,Oneyear,No,55.65,2688.85,No,0.915750446963756,8.42495530362443e-02
5919-TMRGD,Female,0,No,Yes,1,Fiberoptic,No,No,No,No,Yes,No,Month-to-month,Yes,79.35,79.35,Yes,0.284029114887521,0.715970885112479
9919-YLNNG,Female,0,No,No,42,Fiberoptic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,103.8,4327.5,No,0.624704391145675,0.375295608854325
4808-YNLEU,Female,0,Yes,No,35,DSL,Yes,No,No,No,Yes,No,Oneyear,Yes,62.15,2215.45,No,0.887315766033422,0.112684233966578
4767-HZZHQ,Male,0,Yes,Yes,30,Fiberoptic,No,Yes,Yes,No,No,No,Month-to-month,No,82.05,2570.2,No,0.690749617380064,0.309250382619936
7233-PAHHL,Male,0,Yes,Yes,66,DSL,Yes,No,Yes,Yes,Yes,Yes,Twoyear,Yes,84,5714.25,No,0.984064002068434,1.59359979315655e-02
4598-XLKNJ,Female,1,Yes,No,25,Fiberoptic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,98.5,2514.5,Yes,0.318911607590875,0.681088392409125
3679-XASPY,Female,0,Yes,Yes,1,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,19.45,19.45,No,0.796301586560622,0.203698413439378
6180-YBIQI,Male,0,No,No,5,DSL,No,No,No,No,No,No,Month-to-month,No,24.3,100.2,No,0.53262165752809,0.467378342471911
0486-HECZI,Male,0,Yes,No,55,Fiberoptic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,96.75,5238.9,Yes,0.750611780704952,0.249388219295048
