customerID,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Score_Yes,Score_No
5575-GNVDE,Male,0,No,No,34,DSL,Yes,No,Yes,No,No,No,Oneyear,No,56.95,1889.5,No,8.41667393803809e-02,0.915833260619619
3668-QPYBK,Male,0,No,No,2,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,53.85,108.15,Yes,0.215416376580717,0.784583623419283
7795-CFOCW,Male,0,No,No,45,DSL,Yes,No,Yes,Yes,No,No,Oneyear,No,42.3,1840.75,No,8.6809252727647e-02,0.913190747272353
7469-LKBCI,Male,0,No,No,16,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,18.95,326.8,No,0.130537084287362,0.869462915712638
8091-TTVAX,Male,0,Yes,No,58,Fiberoptic,No,No,Yes,No,Yes,Yes,Oneyear,No,100.35,5681.1,No,0.140150979004243,0.859849020995757
8191-XWSZG,Female,0,No,No,52,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,20.65,1022.95,No,0.151795516714714,0.848204483285286
9959-WOFKT,Male,0,No,Yes,71,Fiberoptic,Yes,No,Yes,No,Yes,Yes,Twoyear,No,106.7,7382.25,No,0.152433623271944,0.847566376728056
4190-MFLUW,Female,0,Yes,Yes,10,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,55.2,528.35,Yes,0.150300290841032,0.849699709158968
4183-MYFRB,Female,0,No,No,21,Fiberoptic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,90.05,1862.9,No,0.551879241390809,0.448120758609191
1066-JKSGK,Male,0,No,No,1,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,20.15,20.15,Yes,0.166380793948757,0.833619206051243
6865-JZNKO,Female,0,No,No,30,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,55.3,1530.6,No,0.114165165704412,0.885834834295589
6467-CHFZW,Male,0,Yes,Yes,47,Fiberoptic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,99.35,4749.15,Yes,0.223305753450258,0.776694246549742
7310-EGVHZ,Male,0,No,No,1,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,20.2,20.2,No,0.166382118501272,0.833617881498729
6047-YHPVI,Male,0,No,No,5,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,69.7,316.9,Yes,0.736507652640792,0.263492347359208
6572-ADKRS,Female,0,No,No,46,Fiberoptic,No,No,Yes,No,No,No,Month-to-month,Yes,74.8,3548.3,No,0.214754087292555,0.785245912707445
8865-TNMNX,Male,0,Yes,Yes,10,DSL,No,Yes,No,No,No,No,Oneyear,No,49.55,475.7,No,0.165662061203371,0.834337938796629
9867-JCZSP,Female,0,Yes,Yes,17,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,20.75,418.25,No,0.142058446838862,0.857941553161138
4671-VJLCL,Female,0,No,No,63,DSL,Yes,Yes,Yes,Yes,Yes,No,Twoyear,Yes,79.85,4861.45,No,0.121019140927718,0.878980859072282
7639-LIAYI,Male,0,No,No,52,DSL,Yes,No,No,Yes,Yes,Yes,Twoyear,Yes,79.75,4217.8,No,8.11456673106387e-02,0.918854332689361
2954-PIBKO,Female,0,Yes,Yes,69,DSL,Yes,No,Yes,Yes,No,No,Twoyear,Yes,64.15,4254.1,No,0.114255901308021,0.885744098691979
9420-LOJKX,Female,0,No,No,15,Fiberoptic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,99.1,1426.4,Yes,0.555194179843872,0.444805820156128
1658-BYGOY,Male,1,No,No,18,Fiberoptic,No,No,No,No,Yes,Yes,Month-to-month,Yes,95.45,1752.55,Yes,0.713137092440691,0.286862907559309
1215-FIGMP,Male,0,No,No,60,Fiberoptic,No,Yes,No,No,Yes,No,Month-to-month,Yes,89.9,5450.7,No,0.182263694962231,0.817736305037769
5122-CYFXA,Female,0,No,No,3,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,75.3,244.1,No,0.28275528324128,0.717244716758719
7410-OIEDU,Male,0,No,No,10,Fiberoptic,Yes,No,Yes,No,No,No,Month-to-month,Yes,79.85,887.35,No,0.525691730540785,0.474308269459215
0731-EBJQB,Female,0,Yes,Yes,52,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,Yes,20.4,1090.65,No,0.134105261517117,0.865894738482883
2673-CXQEU,Female,1,No,No,56,Fiberoptic,Yes,Yes,Yes,No,Yes,Yes,Oneyear,No,110.5,6139.5,No,0.147850372133046,0.852149627866954
6416-JNVRK,Female,0,No,No,46,DSL,No,No,No,No,No,Yes,Oneyear,No,55.65,2688.85,No,0.121433581322914,0.878566418677086
5919-TMRGD,Female,0,No,Yes,1,Fiberoptic,No,No,No,No,Yes,No,Month-to-month,Yes,79.35,79.35,Yes,0.805628246209313,0.194371753790687
9919-YLNNG,Female,0,No,No,42,Fiberoptic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,103.8,4327.5,No,0.204262861548748,0.795737138451252
4808-YNLEU,Female,0,Yes,No,35,DSL,Yes,No,No,No,Yes,No,Oneyear,Yes,62.15,2215.45,No,9.62624419296509e-02,0.903737558070349
4767-HZZHQ,Male,0,Yes,Yes,30,Fiberoptic,No,Yes,Yes,No,No,No,Month-to-month,No,82.05,2570.2,No,0.230255621509624,0.769744378490376
7233-PAHHL,Male,0,Yes,Yes,66,DSL,Yes,No,Yes,Yes,Yes,Yes,Twoyear,Yes,84,5714.25,No,0.120450903047033,0.879549096952967
4598-XLKNJ,Female,1,Yes,No,25,Fiberoptic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,98.5,2514.5,Yes,0.552334144428907,0.447665855571093
3679-XASPY,Female,0,Yes,Yes,1,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,19.45,19.45,No,0.170905473422887,0.829094526577113
6180-YBIQI,Male,0,No,No,5,DSL,No,No,No,No,No,No,Month-to-month,No,24.3,100.2,No,0.261304232874167,0.738695767125833
0486-HECZI,Male,0,Yes,No,55,Fiberoptic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,96.75,5238.9,Yes,0.161899089952349,0.838100910047651
4549-ZDQYY,Female,0,No,No,52,DSL,Yes,No,Yes,Yes,No,No,Oneyear,No,57.95,3042.25,No,9.08765318244329e-02,0.909123468175567
4846-WHAFZ,Female,1,Yes,No,37,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,76.5,2868.15,Yes,0.307441969057249,0.692558030942751
5256-SKJGO,Female,0,Yes,Yes,64,DSL,No,Yes,No,Yes,Yes,Yes,Twoyear,Yes,54.6,3423.5,No,0.117681223800065,0.882318776199935
1091-SOZGA,Female,0,Yes,Yes,56,Fiberoptic,No,No,Yes,No,Yes,Yes,Oneyear,Yes,99.8,5515.45,No,0.168624877272357,0.831375122727643
7219-TLZHO,Female,0,Yes,Yes,4,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,20.85,62.9,No,0.165119427688392,0.834880572311608
4622-YNKIJ,Male,0,No,No,33,Fiberoptic,Yes,No,No,Yes,Yes,No,Twoyear,Yes,88.95,3027.65,No,0.169392740327573,0.830607259672427
6734-PSBAW,Male,0,Yes,No,72,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,23.55,1723.95,No,0.148947763187069,0.851052236812931
2876-GZYZC,Female,0,No,No,13,Fiberoptic,No,No,No,No,No,Yes,Month-to-month,Yes,85.95,1215.65,No,0.723393830088244,0.276606169911756
3091-FYHKI,Male,0,No,No,1,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,35.45,35.45,Yes,0.407050292651458,0.592949707348542
7799-LGRDP,Female,0,No,No,43,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,25.7,1188.2,No,0.114279785408004,0.885720214591996
3774-VBNXY,Female,0,Yes,Yes,64,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,20.2,1277.75,No,0.149232859237058,0.850767140762942
0390-DCFDQ,Female,1,Yes,No,1,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,70.45,70.45,Yes,0.807290171397396,0.192709828602604
3466-BYAVD,Male,0,Yes,Yes,15,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,69.5,1071.4,No,0.18830340807448,0.81169659192552
1679-JRFBR,Female,0,Yes,Yes,70,Fiberoptic,Yes,Yes,Yes,No,Yes,Yes,Oneyear,Yes,108.15,7930.55,No,0.164419897685663,0.835580102314337
9073-ZZIAY,Male,0,Yes,Yes,62,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Twoyear,No,86.1,5215.25,No,0.115283435585004,0.884716564414996
7554-NEWDD,Male,0,No,No,10,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,25.7,251.6,No,0.135670985743411,0.864329014256589
3376-BMGFE,Female,0,No,No,4,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,70.9,273,Yes,0.763556416708768,0.236443583291232
7654-YWJUF,Male,0,Yes,No,43,Fiberoptic,Yes,No,Yes,Yes,No,No,Oneyear,Yes,84.25,3539.25,No,0.107297515396631,0.89270248460337
1875-QIVME,Female,0,Yes,No,2,Fiberoptic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,104.4,242.8,Yes,0.796202765695283,0.203797234304717
4827-USJHP,Male,0,No,No,20,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,51.8,1023.85,No,0.195078604642488,0.804921395357512
2146-EGVDT,Male,0,Yes,Yes,59,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,19.3,1192.7,No,0.140361323010973,0.859638676989027
9178-JHUVJ,Male,0,Yes,Yes,24,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,Yes,24.1,587.4,No,0.116918270929483,0.883081729070517
6168-YBYNP,Male,0,No,No,59,Fiberoptic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,111.35,6519.75,No,0.143312586616757,0.856687413383243
3645-DEYGF,Male,0,No,Yes,1,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Month-to-month,No,20.75,20.75,No,0.168479853372992,0.831520146627008
8544-GOQSH,Female,0,No,No,14,Fiberoptic,No,Yes,No,Yes,No,No,Month-to-month,Yes,80.05,1112.3,No,0.447369499671132,0.552630500328868
1347-KTTTA,Male,0,Yes,No,64,Fiberoptic,No,Yes,Yes,Yes,Yes,Yes,Oneyear,Yes,102.45,6654.1,No,0.146128941593984,0.853871058406016
7841-TZDMQ,Male,0,No,No,2,DSL,No,No,No,No,No,No,Month-to-month,Yes,46,84.5,Yes,0.381354285941588,0.618645714058412
4195-NZGTA,Female,0,No,No,1,DSL,No,No,No,No,No,No,Month-to-month,No,25.25,25.25,No,0.25398260342744,0.74601739657256
0699-NDKJM,Female,0,Yes,No,57,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,58.75,3437.45,No,0.123429150397182,0.876570849602818
9286-BHDQG,Male,0,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,No,No,Twoyear,No,45.25,3139.8,No,0.147631815685648,0.852368184314352
0230-WEQUW,Male,0,Yes,No,66,DSL,Yes,Yes,Yes,Yes,Yes,No,Twoyear,Yes,56.6,3789.2,No,0.126546085199313,0.873453914800687
6496-JDSSB,Female,0,No,No,8,Fiberoptic,No,No,No,No,Yes,No,Month-to-month,Yes,80,624.6,No,0.751577900099206,0.248422099900794
6469-MRVET,Male,0,Yes,Yes,1,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,Yes,20.2,20.2,No,0.167009546736035,0.832990453263965
5961-VUSRV,Female,0,No,No,12,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,Yes,19.35,219.35,No,0.143409075168453,0.856590924831547
6778-JFCMK,Male,0,No,No,24,DSL,Yes,No,No,No,Yes,Yes,Oneyear,Yes,50.6,1288.75,No,0.133364965351112,0.866635034648888
6341-JVQGF,Female,0,Yes,Yes,31,DSL,Yes,No,Yes,Yes,Yes,Yes,Oneyear,Yes,81.15,2545.75,No,0.101480607287842,0.898519392712158
4811-JBUVU,Male,0,No,No,30,Fiberoptic,No,No,No,Yes,No,Yes,Month-to-month,Yes,89.9,2723.15,No,0.242560621474776,0.757439378525224
0945-TSONX,Female,0,Yes,Yes,47,DSL,Yes,Yes,No,Yes,Yes,Yes,Twoyear,Yes,85.3,4107.25,No,9.03909258094597e-02,0.90960907419054
9903-LYSAB,Male,0,Yes,No,18,Fiberoptic,No,No,No,No,No,No,Month-to-month,Yes,73.15,1305.95,No,0.51333095956766,0.48666904043234
0094-OIFMO,Female,1,No,No,11,Fiberoptic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,95,1120.3,Yes,0.773492819518986,0.226507180481014
7576-ASEJU,Female,0,Yes,Yes,41,DSL,Yes,No,No,Yes,Yes,Yes,Oneyear,Yes,74.7,3187.65,No,9.31083683111955e-02,0.906891631688804
9058-HRZSV,Female,1,Yes,No,65,Fiberoptic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,94.4,6126.15,No,0.153206818066602,0.846793181933398
0221-WMXNQ,Male,1,No,No,4,Fiberoptic,Yes,No,No,No,No,No,Month-to-month,No,75.35,273.4,No,0.577438908688145,0.422561091311855
4075-JFPGR,Female,0,Yes,No,51,Fiberoptic,Yes,Yes,Yes,No,Yes,No,Oneyear,Yes,93.5,4619.55,No,0.150074634421499,0.849925365578501
9514-JDSKI,Male,1,Yes,No,1,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,40.2,40.2,Yes,0.286160950322264,0.713839049677736
4959-JOSRX,Female,0,Yes,No,2,DSL,No,No,No,No,No,No,Month-to-month,Yes,44.6,80.55,Yes,0.301742359069842,0.698257640930158
7273-TEFQD,Male,1,No,No,3,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,41.15,132.2,Yes,0.504916792831838,0.495083207168162
